,category,c_neg,count_all,normalized
192,Pizza,364,394428,0.09228553753790299
193,Seafood Markets,6,6516,0.09208103130755065
194,Nutritionists,1,1095,0.091324200913242
195,Pets,2,2195,0.09111617312072894
196,Soul Food,28,30977,0.09038964392936695
197,Champagne Bars,1,1139,0.08779631255487269
198,Event Planning & Services,262,298962,0.08763655581645827
199,Beverage Store,1,1175,0.0851063829787234
200,Beer,126,148796,0.08467969569074438
201,Wine & Spirits,126,148796,0.08467969569074438
202,Tapas/Small Plates,63,74751,0.08427980896576634
203,Health & Medical,3,3605,0.08321775312066575
204,Fruits & Veggies,3,3643,0.08234971177600879
205,Cafes,174,217132,0.08013558572665476
206,Fitness & Instruction,1,1252,0.07987220447284345
207,Art Galleries,2,2530,0.07905138339920949
208,Japanese Curry,2,2577,0.07760962359332557
209,French,80,103875,0.07701564380264742
210,Professional Services,3,3898,0.07696254489481785
211,Furniture Stores,1,1300,0.07692307692307693
212,Nightlife,765,1009498,0.07578023928724971
213,Fish & Chips,16,21238,0.07533666070251435
214,Bars,734,974747,0.07530159107953141
215,Beauty & Spas,16,21462,0.07455036809244246
216,Music Venues,34,46148,0.07367599895986826
217,Pubs,104,143151,0.07265055780260006
218,Ice Cream & Frozen Yogurt,40,55565,0.07198776208044633
219,Wine Bars,103,144960,0.07105408388520972
220,Jazz & Blues,6,8650,0.06936416184971098
221,Local Flavor,34,49190,0.06911973978450905
222,Bagels,21,30523,0.06880057661435639
223,Salad,171,249166,0.06862894616440446
224,Gift Shops,1,1468,0.06811989100817438
225,Dance Clubs,17,25000,0.068
226,Custom Cakes,3,4420,0.06787330316742081
227,Sandwiches,317,475626,0.066649005731394
228,Diners,81,122626,0.06605450720075677
229,Creperies,15,22972,0.0652968831621104
230,Home & Garden,2,3075,0.06504065040650406
231,Scandinavian,1,1545,0.06472491909385113
232,Venues & Event Spaces,49,76867,0.06374647117748838
233,Live/Raw Food,6,9616,0.06239600665557404
234,Macarons,1,1639,0.06101281269066504
235,Botanical Gardens,1,1701,0.058788947677836566
236,Waffles,10,17056,0.05863039399624766
237,Active Life,16,27814,0.05752498741640901
238,Tuscan,1,1749,0.05717552887364208
239,Day Spas,9,15871,0.05670720181463046
240,Southern,40,71022,0.05632057672270564
241,Cocktail Bars,93,165991,0.056027134001241034
242,Poke,11,19673,0.0559141971229604
243,Arts & Entertainment,92,170789,0.05386763784552869
244,Meat Shops,6,11194,0.053600142933714484
245,Juice Bars & Smoothies,42,80007,0.05249540665191796
246,Ethnic Grocery,1,1909,0.05238344683080147
247,Do-It-Yourself Food,4,7661,0.05221250489492234
248,Health Markets,5,9651,0.051808102787275934
249,Lounges,57,110538,0.051565977310969985
250,Argentine,2,3891,0.05140066820868672
251,Donuts,10,19649,0.05089317522520231
252,Coffee & Tea,115,226444,0.0507851830916253
253,Breakfast & Brunch,321,646334,0.04966472443040285
254,Wraps,8,16164,0.04949269982677555
255,Canadian (New),44,91528,0.04807272091600385
256,Sports Bars,75,157055,0.047753971538632964
257,Chicken Wings,60,125901,0.04765649200562347
258,Flowers & Gifts,2,4260,0.046948356807511735
259,Acai Bowls,2,4370,0.045766590389016024
260,Casinos,37,81804,0.04523006209965283
261,Izakaya,2,4449,0.04495392222971454
262,Steakhouses,108,243536,0.04434662637146049
263,Hotels & Travel,44,99698,0.044133282513189834
264,Hotels,39,89929,0.04336754550812307
265,Poutineries,4,9481,0.0421896424427803
266,Comfort Food,31,75864,0.04086259622482337
267,Arcades,4,10083,0.03967073291679064
268,Gas Stations,1,2570,0.038910505836575876
269,Chicken Shop,10,25820,0.03872966692486445
270,Butcher,3,7929,0.037835792659856225
271,Wedding Planning,2,5348,0.037397157816005985
272,Breweries,20,54023,0.037021268718878994
273,Golf,2,5463,0.03660992128866923
274,Museums,1,2761,0.036218761318362915
275,Shopping Centers,4,11064,0.036153289949385395
276,Brasseries,4,11537,0.03467105833405565
277,Gastropubs,32,95781,0.033409548866685464
278,Burgers,131,395129,0.03315372954149152
279,Social Clubs,2,6074,0.03292723081988805
280,Resorts,10,30685,0.032589212970506765
281,American (Traditional),236,733103,0.03219192937418071
282,Whiskey Bars,2,6448,0.031017369727047148
283,American (New),222,729264,0.030441650760218524
284,Fondue,2,6675,0.0299625468164794
285,Farmers Market,2,6897,0.02899811512251704
286,Internet Cafes,2,6929,0.028864193967383458
287,Performing Arts,2,7304,0.027382256297918947
288,Chocolatiers & Shops,2,8830,0.022650056625141562
289,Organic Stores,1,4481,0.02231644722160232
290,Pool Halls,1,4532,0.02206531332744925
291,Car Wash,1,4704,0.021258503401360544
292,Bowling,1,5520,0.018115942028985508
293,Cinema,1,5693,0.01756543123133673
294,Cupcakes,1,5980,0.016722408026755852
295,Bistros,1,6235,0.01603849238171612
296,Coffee Roasteries,1,7163,0.013960631020522129
297,Amusement Parks,1,7412,0.013491635186184566
